name,address,latitude,longitude
金沢市西公民館,金沢市西念２丁目34番９号,36.586902,136.640583
姉妹都市公園,金沢市駅西新町３丁目1001番地ほか,36.59168204,136.6351604
南新保第２児童公園,金沢市駅西新町２丁目1101番地,36.59471031,136.6392825
西念町児童公園,金沢市西念３丁目701番地,36.58750733,136.6368238
西念町第２公園,金沢市西念２丁目3101番地,36.58703858,136.6414598
金沢市二塚公民館,金沢市北塚町西98番地,36.57274608,136.5971755
いしかわ総合スポーツセンター,金沢市稚日野町北222番地,36.579353,136.598409
金沢市営専光寺ソフトボール場,金沢市専光寺町レ３番地５ ,36.58621685,136.5790461
加賀友禅染色団地公園,金沢市専光寺町ニ172番地,36.58273206,136.5866603
健民海浜公園,金沢市普正寺町11の１番地１,36.5915182,136.5831825
古府中央公園,金沢市古府３丁目95番地,36.57079556,136.6075111
古府徳代公園,金沢市古府２丁目４番地,36.56653865,136.6095217
松島町西公園,金沢市松島３丁目179番地,36.56658031,136.6014603
松島町中央公園,金沢市松島２丁目165番地,36.56425625,136.6019436
西部緑地公園,金沢市袋畠町南193番地,36.57585503,136.601919
専光寺五本松公園,金沢市専光寺町そ94番地,36.58219644,136.5805645
金沢市立安原小学校,金沢市福増町北1087番地,36.56697,136.579381
金沢市立緑小学校,金沢市みどり１丁目166番地,36.57012759,136.5907047
金沢龍谷高等学校,金沢市上安原町169番地１,36.56604097,136.5862184
金沢市立緑中学校,金沢市みどり２丁目３番地,36.57051685,136.5844456
安原スポーツ広場,金沢市下安原町東1127番地,36.56985433,136.5736512
金沢市安原公民館,金沢市福増町北1067番地,36.56788943,136.5803639
みどり第２児童公園,金沢市みどり１丁目172番地,36.56874778,136.5907129
